ARGs abundance normalization aganist Cell number	L0Z	L1A	L1B	L1C	L1D	L5A	L5B	L5C	L5D	M0Z	S0Z	S1A	S1B	S1C	S1D	S5A	S5B	S5C	S5D	W1A	W1B
aminoglycoside__aadE	0	0.000110087210398042	7.05609657537698e-05	0	0	0	0	0	0	0.0011677767661446	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(2'')-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125113399167068	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(4')-IIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(4')-Ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(9)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-Ie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3''')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3'')-I	0	0	0	0	0.000206708744011898	0	0	0	0	0.000292448544821507	0.000193121662895829	0	0	0	0	0	0	0	0	0.000184635078616819	0
aminoglycoside__aph(3'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-I	0	0	0	0	0	0.00031837359688536	0.000877105094505518	0.000148500215580781	0.000273478726094443	0	0	0	0	0	0	0	0	0	0	0.000208664450573231	0
aminoglycoside__aph(3')-IIb	0	0	0	0	0	0.00028185782188047	0.00144873027402275	0.00218206484681103	0.000133446196228629	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(4)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(6)-I	0	5.91216157304338e-05	2.00686926101972e-05	6.76584070710288e-05	0.00012797105467538	0	0	0	4.1959574880838e-05	0.000150182435878866	0	0	0	0	8.83695961966629e-05	8.85640667606367e-05	0	0	0	0.000335169317694492	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptomycin resistance protein	0	0	0	0	0	0	0	0	0	0.000259509267577075	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptothricin acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__tunicamycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__viomycin phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bacA	0.000817102975113093	0.00400405223099059	0.0172767478394879	0.0163542050673114	0.00352557813248072	0.0728800151403755	0.114647217995176	0.11484052074301	0.272613759882285	0.000117710461504431	0.00166649341290832	0.000294037595727752	0.000650295187398469	0.000882770925656705	0.000426487770787732	0.00137203533886491	0.00144695792521628	0.00077056997370664	0.00199434488220481	0.0129891995823284	0.0794317304370721
bacitracin__bcrA	0	8.83752359812667e-05	0.000128617456563834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bcrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-13	0	0	4.81964665048044e-05	0	0	5.41067989457404e-05	0	0.000228201534567494	9.35174131051022e-05	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-14	0	0	0	0	0	0	0	3.98108596130207e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-19	0	0	0	0	0	0	6.08112913030262e-05	0.00117868580782836	0.000467587065525511	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-21	0	0	0	0	0	0	0	5.90053812121557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__AER-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__BEL-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__BEL-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CARB-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CAZ-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CFE-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CGB-1	0	0	0	9.25192589125729e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-1	0	0	0	2.11849435345133e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-26	0	0	0	0	5.42500374946134e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-39	0	0	0	6.93857870654454e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CMY-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M	0	0	0	0	0	0.00028165643321525	0	0	8.99862624922651e-05	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-1	0	0	0	0	0	0	0	0	0.00010031255490941	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-35	0	0	0	0.000152026843361992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-7	0	0	0	3.8006710840498e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-94	0	0	0	7.69404146283252e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CTX-M-99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CfxA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__CfxA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__DHA-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__DHA-5	0	0	0	0	0	0	0	3.71623044974164e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__DHA-6	0	0	0	0	0	0	0	0	5.77657390738227e-05	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__DHA-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__FEZ-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85451934328636e-05	0	0	0	0	0	0
beta-lactam__FONA-6	0	0	0	0.000680331122266323	0	0	0	0	0.00012078011658659	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__FOX-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__FOX-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__FOX-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__FOX-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
